"filename","filetype","bandwidth","profile","span","average.wavefront","RMS.wavefront","state.vector.length","groups","event.span","event.span.norm","weighted.event.span","weighted.event.span.norm","order","saturation","sat.granularity"
"cyclic_scheduler.2","dve2C",58,2534,3352,10.126,10.652,20,30,132,0.22,161,0.269,"chain","sat-like",1
"cyclic_scheduler.3","dve2C",59,7376,9435,11.2991,11.5707,52,78,360,0.08876,394.4,0.09724,"chain","sat-like",1
"cyclic_scheduler.4","dve2C",59,4950,6393,10.971,11.319,36,54,246,0.1265,278.9,0.1435,"chain-prev","sat-loop",20
"database2UNFOLD","pnml",37,2111,2964,9.0886,9.3036,38,32,188,0.1546,209.5,0.1723,"chain","sat-like",5
"database4UNFOLD","pnml",520,63249,77399,48.6418,53.7687,140,128,3696,0.20625,5030.1,0.2807,"bfs","sat-like",5
"dekker-10","pnml",762,184754,203056,38.3309,39.6745,50,120,3083,0.5138,4626,0.7709,"chain-prev","sat-like",5
"dekker-15","pnml",1682,887942,945043,57.28736,59.10158,75,255,10193,0.53297,15350,0.8026,"chain-prev","sat-like",10
"deploy_2_a","pnml",510,160688,188151,50.2674,53.5239,69,174,2804,0.23355,3627.5,0.30214,"chain","sat-loop",5
"deploy_3_a","pnml",1248,625953,735885,98.34565,111.1699,104,308,7951,0.24822,10426,0.32549,"chain-prev","sat-loop",40
"deploy_4_a","pnml",2137,1715322,1910672,128.0947,141.2273,141,475,17679,0.26396,22160,0.33087,"chain","sat-loop",5
"deploy_5_a","pnml",3068,3562699,4042489,178.8129,203.16999,180,675,32411,0.266757,41833.8,0.344311,"chain","sat-loop",20
"deploy_6_a","pnml",4364,6921888,7710911,221.99842,251.49877,221,908,56743,0.282771,72488.2,0.361235,"chain","sat-loop",1
"deploy_7_a","pnml",5871,12898639,14294347,314.16965,360.11477,264,1174,86284,0.278393,108736,0.350832,"chain","sat-like",80
"des_00_a","pnml",462,42960,48062,23.4316,24.4829,115,76,1251,0.1431,1685,0.1928,"chain","sat-like",10
"des_01_a","pnml",480,46783,52331,23.9391,24.9884,119,76,1307,0.1445,1727,0.191,"chain","sat-like",5
"des_02_a","pnml",442,49723,55707,24.51,25.498,123,80,1407,0.143,1877,0.1907,"chain","sat-like",40
"distributeur-01-unfolded-02","pnml",488,103588,109873,25.8209,26.6104,24,72,786,0.4549,1083,0.6265,"chain-prev","sat-like",1
"dnawalk-01","pnml",225,22305,24337,17.648,18.778,13,82,354,0.3321,435.4,0.4084,"bfs-prev","sat-loop",2147483647
"dnawalk-02","pnml",231,26766,28367,20.416,22.124,14,84,392,0.3333,469.3,0.3991,"chain","sat-loop",1
"dnawalk-03","pnml",242,21599,23795,18.382,19.584,14,84,387,0.3291,492.4,0.4187,"chain","none",
"dnawalk-04","pnml",494,113242,122025,27.6357,28.9045,34,250,1565,0.1841,1889,0.2222,"bfs-prev","sat-loop",20
"dnawalk-05","pnml",419,122292,130977,30.1912,31.9227,34,250,1553,0.1827,1879,0.2211,"bfs-prev","sat-like",10
"dnawalk-06","pnml",510,114477,122467,23.7274,24.6043,34,250,1592,0.1873,1945,0.2288,"bfs-prev","sat-like",10
"dnawalk-07","pnml",569,136899,143781,30.3398,33.1948,34,250,1759,0.2069,2246,0.2642,"bfs-prev","sat-like",10
"dnawalk-08","pnml",758,205818,220869,39.2941,41.7897,27,260,1874,0.267,2216,0.3156,"chain-prev","sat-like",5
"dnawalk-09","pnml",744,196148,209465,37.4093,39.3978,27,260,1832,0.261,2158,0.3074,"chain-prev","sat-like",1
"dnawalk-10","pnml",774,209161,224927,40.2578,42.4921,27,260,2079,0.2962,2664,0.3795,"chain","sat-like",5
"dnawalk-11","pnml",773,204762,222048,42.0013,43.6979,27,260,1942,0.2766,2343,0.3338,"chain","sat-like",5
"dnawalk-12","pnml",926,230522,247822,37.5983,39.3443,33,312,2332,0.2265,2688.9,0.26116,"chain","sat-loop",20
"dnawalk-13","pnml",869,254075,271196,39.768,41.7927,33,312,2334,0.22669,2872.2,0.27897,"bfs-prev","sat-like",20
"dnawalk-14","pnml",942,233329,249142,35.9043,37.3418,33,312,2428,0.23582,2883,0.28001,"bfs-prev","sat-loop",20
"dnawalk-15","pnml",942,261327,279160,41.5297,43.2546,33,312,2657,0.25806,3353.6,0.32572,"chain","sat-like",20
"elevator.1","dve2C",134,7924,9042,14.657,16.036,27,38,286,0.2788,359.1,0.35,"bfs-prev","sat-like",1
"elevator.2","dve2C",117,6665,7555,15.032,16.212,24,32,262,0.341,310,0.403,"chain-prev","sat-like",1
"elevator2.1","dve2C",28,622,722,5.778,6.304,11,14,33,0.214,35.1,0.228,"chain","sat-like",1
"elevator2.2","dve2C",58,2295,2523,6.6538,7.0615,16,27,91,0.211,119,0.276,"chain-prev","sat-like",1
"elevator2.3","dve2C",71,2207,2459,5.354,5.538,20,23,136,0.296,143,0.312,"chain","sat-like",1
"elevator.3","dve2C",219,18226,19677,18.387,19.946,38,52,747,0.378,984.7,0.4983,"bfs-prev","sat-like",1
"elevator.4","dve2C",177,11823,13313,16.051,17.757,36,44,499,0.315,686.7,0.4335,"bfs-prev","sat-like",1
"erk-000001","pnml",17,526,725,6.696,6.919,11,11,39,0.322,45.8,0.379,"bfs","sat-like",1
"erk-000010","pnml",17,526,725,6.696,6.919,11,11,39,0.322,45.8,0.379,"bfs","sat-loop",1
"erk-000100","pnml",17,526,725,6.696,6.919,11,11,39,0.322,45.8,0.379,"chain-prev","sat-like",5
"exit.1","dve2C",187,15866,17083,11.805,12.497,26,45,376,0.3214,437.5,0.3739,"chain-prev","sat-loop",2147483647
"exit.2","dve2C",320,48082,52023,31.1488,33.3739,28,89,804,0.3226,984.7,0.3952,"chain","sat-like",2147483647
"exit.3","dve2C",320,48082,52023,31.1488,33.3739,28,89,804,0.3226,984.7,0.3952,"chain-prev","sat-like",1
"exit.4","dve2C",320,48082,52023,31.1488,33.3739,28,89,804,0.3226,984.7,0.3952,"chain-prev","sat-like",1
"exit.5","dve2C",506,86890,95306,37.8663,40.1744,30,133,1614,0.4045,2606,0.6531,"chain","sat-loop",2147483647
"FMS-10","pnml",27,736,983,5.637,5.834,22,20,70,0.159,75.7,0.172,"chain","sat-like",1
"FMS-100","pnml",27,736,983,5.637,5.834,22,20,70,0.159,75.7,0.172,"chain-prev","sat-like",1
"FMS-2","pnml",27,736,983,5.637,5.834,22,20,70,0.159,75.7,0.172,"chain","none",
"FMS-20","pnml",27,736,983,5.637,5.834,22,20,70,0.159,75.7,0.172,"chain-prev","sat-like",1
"FMS-200","pnml",27,736,983,5.637,5.834,22,20,70,0.159,75.7,0.172,"chain-prev","sat-like",1
"FMS-5","pnml",27,736,983,5.637,5.834,22,20,70,0.159,75.7,0.172,"chain","sat-like",1
"FMS-50","pnml",27,736,983,5.637,5.834,22,20,70,0.159,75.7,0.172,"bfs-prev","sat-like",1
"G-PPP-1000-10","pnml",85,3030,3715,12.043,13.05,33,22,183,0.252,224,0.308,"chain-prev","sat-loop",2147483647
"G-PPP-1000-100","pnml",85,3030,3715,12.043,13.05,33,22,183,0.252,224,0.308,"bfs-prev","sat-like",1
"G-PPP-1000-1000","pnml",85,3030,3715,12.043,13.05,33,22,183,0.252,224,0.308,"bfs-prev","sat-like",1
"G-PPP-100-10","pnml",85,3030,3715,12.043,13.05,33,22,183,0.252,224,0.308,"chain-prev","sat-like",2147483647
"G-PPP-100-100","pnml",85,3030,3715,12.043,13.05,33,22,183,0.252,224,0.308,"bfs-prev","sat-like",1
"G-PPP-100-1000","pnml",85,3030,3715,12.043,13.05,33,22,183,0.252,224,0.308,"bfs-prev","sat-like",1
"G-PPP-100-10000","pnml",85,3030,3715,12.043,13.05,33,22,183,0.252,224,0.308,"chain-prev","sat-like",1
"G-PPP-100-100000","pnml",85,3030,3715,12.043,13.05,33,22,183,0.252,224,0.308,"bfs-prev","sat-like",1
"G-PPP-10-10","pnml",85,3030,3715,12.043,13.05,33,22,183,0.252,224,0.308,"chain-prev","none",
"G-PPP-10-100","pnml",85,3030,3715,12.043,13.05,33,22,183,0.252,224,0.308,"chain-prev","none",
"G-PPP-1-1","pnml",85,3030,3715,12.043,13.05,33,22,183,0.252,224,0.308,"chain-prev","sat-like",10
"G-PPP-1-10","pnml",85,3030,3715,12.043,13.05,33,22,183,0.252,224,0.308,"chain","sat-like",20
"G-PPP-1-100","pnml",85,3030,3715,12.043,13.05,33,22,183,0.252,224,0.308,"chain-prev","sat-loop",20
"G-PPP-1-1000","pnml",85,3030,3715,12.043,13.05,33,22,183,0.252,224,0.308,"chain-prev","sat-like",20
"hanoi.1","dve2C",157,12569,13667,13.381,14.208,36,6,168,0.778,285,1.32,"bfs-prev","sat-loop",20
"hanoi.2","dve2C",217,24019,25545,14.158,14.923,48,6,232,0.806,402,1.39,"bfs-prev","sat-like",2147483647
"HouseConstruction-002","pnml",32,1041,1252,6.505,6.829,26,18,85,0.182,99.4,0.212,"chain","sat-loop",20
"HouseConstruction-005","pnml",32,1041,1252,6.505,6.829,26,18,85,0.182,99.4,0.212,"chain-prev","sat-like",5
"HouseConstruction-010","pnml",32,1041,1252,6.505,6.829,26,18,85,0.182,99.4,0.212,"chain-prev","sat-like",5
"HouseConstruction-020","pnml",32,1041,1252,6.505,6.829,26,18,85,0.182,99.4,0.212,"chain-prev","sat-like",5
"HouseConstruction-050","pnml",32,1041,1252,6.505,6.829,26,18,85,0.182,99.4,0.212,"bfs-prev","sat-like",1
"ht_d2k1p8b00","pnml",71,2427,2979,12.95,13.59,13,16,128,0.615,185,0.891,"chain-prev","sat-loop",10
"ht_d2k2p1b00","pnml",161,18490,22840,23.8495,24.8135,52,64,784,0.2356,958.2,0.2879,"chain","sat-like",1
"IBM319","pnml",161,16673,19896,10.2236,10.8744,253,178,1341,0.029778,1340.4,0.029765,"chain-prev","sat-like",10
"IBMB2S565S3960","pnml",161,19171,22392,10.27148,10.79144,273,179,1482,0.030327,1492,0.030532,"chain-prev","sat-like",5
"IOTP_c1m1p1d1","pnml",199,11935,13372,13.0528,14.2796,111,45,602,0.1205,790.6,0.1583,"chain","sat-like",5
"IOTP_c3m3p3d3","pnml",199,11935,13372,13.0528,14.2796,111,45,602,0.1205,790.6,0.1583,"chain","sat-like",5
"IOTP_c5m4p3d2","pnml",199,11935,13372,13.0528,14.2796,111,45,602,0.1205,790.6,0.1583,"bfs-prev","sat-like",5
"iprotocol.1","dve2C",71,4805,5547,10.216,11.065,23,35,175,0.217,219,0.272,"chain-prev","sat-like",1
"iprotocol.2","dve2C",72,5110,5905,10.244,11.068,25,35,190,0.217,245,0.28,"chain-prev","sat-like",1
"iprotocol.3","dve2C",86,5819,6696,10.293,11.073,29,35,220,0.2167,299.6,0.2952,"chain-prev","sat-like",1
"iprotocol.4","dve2C",100,6646,7587,10.335,11.078,33,35,250,0.2165,354.8,0.3072,"bfs-prev","sat-like",1
"iprotocol.5","dve2C",114,7573,8578,10.371,11.082,37,35,280,0.2162,410.6,0.3171,"chain-prev","sat-like",5
"iprotocol.6","dve2C",114,7573,8578,10.371,11.082,37,35,280,0.2162,410.6,0.3171,"chain-prev","sat-like",5
"iprotocol.7","dve2C",128,8600,9669,10.403,11.085,41,35,310,0.216,466.8,0.3253,"chain-prev","sat-like",10
"krebs.1","dve2C",36,1223,1589,8.863,9.651,18,10,64,0.356,98.1,0.545,"chain-prev","sat-like",5
"krebs.2","dve2C",56,2329,2917,11.33,12.35,19,16,111,0.365,182,0.597,"bfs-prev","sat-like",5
"krebs.3","dve2C",56,2329,2917,11.33,12.35,19,16,111,0.365,182,0.597,"chain-prev","sat-like",5
"krebs.4","dve2C",80,3874,4691,13.355,14.557,20,22,153,0.348,248,0.564,"bfs-prev","sat-like",1
"lamport.1","dve2C",66,2601,2952,7.8934,8.4548,11,42,90,0.195,95.3,0.206,"chain-prev","sat-like",1
"lamport.2","dve2C",71,3462,3962,10.906,11.927,11,42,113,0.245,131,0.283,"chain-prev","sat-like",1
"lamport.3","dve2C",66,2601,2952,7.8934,8.4548,11,42,90,0.195,95.3,0.206,"chain-prev","sat-like",1
"lamport.5","dve2C",114,5888,6351,11.093,12.076,14,56,133,0.17,144,0.184,"chain-prev","sat-like",1
"lamport.6","dve2C",149,6716,7618,12.586,13.332,14,56,191,0.244,244,0.311,"bfs-prev","sat-like",1
"lamport.7","dve2C",165,7491,8327,11.54,12.302,17,70,223,0.1874,260.2,0.2187,"chain-prev","sat-like",1
"lamport.8","dve2C",165,7491,8327,11.54,12.302,17,70,223,0.1874,260.2,0.2187,"chain-prev","sat-like",1
"lamport_fmea-2","pnml",321,43283,48703,33.751,36.223,69,96,1832,0.2766,1933,0.2919,"chain-prev","sat-loop",40
"lamport_fmea-3","pnml",549,114468,124691,46.0891,49.5801,100,156,4029,0.25827,3972.4,0.25464,"chain-prev","sat-loop",40
"lamport_fmea-4","pnml",831,243608,263742,58.59496,62.90947,135,230,7573,0.2439,7118.3,0.22925,"chain-prev","sat-like",20
"lamport_fmea-5","pnml",1166,458017,492352,71.50122,76.4953,174,318,12832,0.23191,11638,0.21033,"bfs-prev","sat-like",1
"lamport_nonatomic.1","dve2C",531,95735,100420,18.4306,19.0578,18,147,1035,0.3912,1285,0.4855,"chain-prev","sat-like",1
"lamport_nonatomic.2","dve2C",531,95735,100420,18.4306,19.0578,18,147,1035,0.3912,1285,0.4855,"chain","sat-like",1
"lamport_nonatomic.3","dve2C",531,95735,100420,18.4306,19.0578,18,147,1035,0.3912,1285,0.4855,"chain-prev","sat-like",1
"lamport_nonatomic.4","dve2C",896,255391,265799,24.825,25.8836,24,244,2097,0.3581,2608,0.4453,"chain-prev","sat-like",1
"lamport_nonatomic.5","dve2C",1374,570577,589098,32.47222,34.33232,30,365,3606,0.32932,4448.6,0.40626,"chain-prev","sat-like",1
"lann.1","dve2C",74,2207,2649,8.4957,9.0874,15,27,94,0.232,102,0.253,"chain-prev","sat-like",1
"lann.2","dve2C",87,2738,3368,8.0793,8.4943,24,36,141,0.163,153,0.177,"chain-prev","sat-like",1
"lann.3","dve2C",82,2699,3219,8.141,8.5515,20,40,119,0.149,129,0.161,"chain","sat-loop",10
"lann.4","dve2C",75,3837,4731,9.0837,9.6171,30,45,187,0.1385,201.7,0.1494,"chain-prev","sat-like",1
"lann.5","dve2C",91,4234,5186,8.1829,8.587,36,54,213,0.1096,224.3,0.1154,"chain","sat-like",1
"lann.6","dve2C",95,3093,3694,8.8232,9.3545,20,40,127,0.159,136,0.17,"chain","sat-loop",10
"lann.7","dve2C",86,3599,4211,8.241,8.6543,25,50,149,0.1192,158.2,0.1265,"chain-prev","sat-like",5
"lifts.1","dve2C",539,95380,102898,27.1466,30.1539,22,135,1141,0.3842,1367,0.4602,"chain-prev","sat-loop",10
"lifts.2","dve2C",539,95380,102898,27.1466,30.1539,22,135,1141,0.3842,1367,0.4602,"chain-prev","sat-like",1
"lifts.3","dve2C",799,232911,246162,37.4125,41.2761,29,201,1851,0.3176,2107,0.3615,"chain-prev","sat-like",1
"lifts.4","dve2C",799,232911,246162,37.4125,41.2761,29,201,1851,0.3176,2107,0.3615,"chain-prev","sat-like",1
"lifts.5","dve2C",799,232911,246162,37.4125,41.2761,29,201,1851,0.3176,2107,0.3615,"chain-prev","sat-like",1
"lifts.6","dve2C",1077,436473,454291,44.85562,49.18471,36,267,2753,0.2864,3065,0.3189,"chain-prev","sat-like",1
"lifts.7","dve2C",1077,436473,454291,44.85562,49.18471,36,267,2753,0.2864,3065,0.3189,"bfs-prev","sat-like",1
"lifts.8","dve2C",1077,436473,454291,44.85562,49.18471,36,267,2753,0.2864,3065,0.3189,"chain-prev","sat-like",1
"lup.1","dve2C",193,15885,16525,7.2273,7.3351,6,48,216,0.75,272,0.944,"bfs-prev","none",
"lup.2","dve2C",389,59921,61117,7.02284,7.09132,10,96,624,0.65,787,0.82,"bfs-prev","sat-loop",2147483647
"lup.3","dve2C",438,75340,76675,7,7.06356,11,108,756,0.6364,955.6,0.8044,"chain-prev","sat-loop",2147483647
"lup.4","dve2C",487,92523,93997,6.98171,7.04125,12,120,900,0.625,1140,0.7917,"bfs-prev","sat-loop",2147483647
"mcs.1","dve2C",84,3378,3952,11.944,12.981,13,39,127,0.25,162,0.319,"chain-prev","sat-like",1
"mcs.2","dve2C",65,2467,2864,8.4068,9.3183,13,39,98,0.193,114,0.225,"chain-prev","sat-like",5
"mcs.3","dve2C",127,7663,8600,17.202,18.782,17,52,204,0.231,268,0.304,"chain-prev","sat-like",1
"mcs.4","dve2C",112,4515,5186,10.553,11.461,17,52,162,0.183,204,0.23,"chain","sat-like",2147483647
"mcs.5","dve2C",186,13051,14846,19.898,21.691,21,65,302,0.2212,406.5,0.2978,"bfs-prev","sat-like",1
"mcs.6","dve2C",157,7164,8295,12.024,12.92,21,65,228,0.167,285.7,0.2093,"chain","sat-like",1
"msmie.1","dve2C",208,18782,20007,14.577,15.395,11,85,280,0.299,338,0.361,"bfs-prev","sat-loop",10
"msmie.2","dve2C",472,66405,69141,13.2189,13.7758,18,173,1025,0.3292,1347,0.4325,"chain-prev","sat-loop",10
"msmie.3","dve2C",694,140049,144784,15.838,16.1799,20,251,1778,0.3542,2475,0.4929,"chain-prev","sat-like",1
"msmie.4","dve2C",1260,454126,464355,18.20885,18.50929,28,450,4663,0.37008,6481.5,0.5144,"bfs-prev","sat-loop",5
"MultiwaySync","pnml",1727,691636,750554,60.1946,65.94174,222,472,18444,0.176019,24186.3,0.230821,"chain","sat-like",20
"needham.1","dve2C",169,13096,13850,12.619,13.419,14,55,353,0.458,493,0.641,"chain-prev","sat-like",1
"needham.2","dve2C",342,46643,49940,21.97,23.235,21,98,662,0.3217,742.6,0.3608,"chain-prev","sat-like",1
"needham.3","dve2C",394,59241,62949,24.2291,25.4054,24,111,827,0.3104,926.2,0.3477,"chain-prev","sat-like",1
"needham.4","dve2C",536,105075,110490,29.4742,30.8141,28,147,1324,0.3217,1506,0.3658,"chain-prev","sat-like",1
"open_system_0","pnml",558,55863,65035,21.4464,23.9588,198,176,3094,0.088786,3419.4,0.098123,"chain-prev","sat-like",5
"PaceMaker","pnml",310,53741,59904,20.6786,22.0228,70,164,1070,0.093206,1061.1,0.092429,"chain","sat-like",1
"peg_solitaire.1","dve2C",928,449745,490084,87.4968,90.3938,18,48,864,1,1630,1.89,"bfs-prev","sat-loop",10
"peg_solitaire.4","dve2C",1705,1499259,1594867,112.8418,115.3997,27,60,1620,1,3120,1.926,"bfs-prev","sat-loop",20
"peg_solitaire.5","dve2C",7329,27341239,28329271,270.45765,273.86277,51,140,7140,1,14000,1.961,"chain","sat-loop",5
"peterson.1","dve2C",39,953,1200,5.393,5.616,15,21,62,0.197,68.3,0.217,"chain","sat-like",1
"peterson.2","dve2C",39,953,1200,5.393,5.616,15,21,62,0.197,68.3,0.217,"chain","sat-loop",5
