filename,parent,parent-name,param-val,param-name
dnawalk-07,dnawalk,DNA Walker Circuits,7,7
dnawalk-08,dnawalk,DNA Walker Circuits,8,8
dnawalk-09,dnawalk,DNA Walker Circuits,9,9
dnawalk-10,dnawalk,DNA Walker Circuits,10,10
dnawalk-11,dnawalk,DNA Walker Circuits,11,11
dnawalk-12,dnawalk,DNA Walker Circuits,12,12
dnawalk-13,dnawalk,DNA Walker Circuits,13,13
dnawalk-14,dnawalk,DNA Walker Circuits,14,14
dnawalk-15,dnawalk,DNA Walker Circuits,15,15
elevator.1,elevator,Elevator (1),1,1
elevator.2,elevator,Elevator (1),2,2
elevator.3,elevator,Elevator (1),3,3
elevator.4,elevator,Elevator (1),4,4
elevator2.1,elevator2,Elevator (2),1,1
elevator2.2,elevator2,Elevator (2),2,2
elevator2.3,elevator2,Elevator (2),3,3
EnergyBus,energyBus,Energy Bus,1,Default
erk-000001,erk,Erk,1,1
erk-000010,erk,Erk,10,10
erk-000100,erk,Erk,100,100
exit.1,exit,Exit,1,1
exit.2,exit,Exit,2,2
exit.3,exit,Exit,3,3
exit.4,exit,Exit,4,4
exit.5,exit,Exit,5,5
extinction.1,extinction,Extinction,1,1
extinction.2,extinction,Extinction,2,2
extinction.3,extinction,Extinction,3,3
extinction.4,extinction,Extinction,4,4
firewire_link.2,firewireLink,Firewire Link,2,2
firewire_link.3,firewireLink,Firewire Link,3,3
firewire_link.5,firewireLink,Firewire Link,5,5
fischer.1,fischer,Fischer,1,1
fischer.2,fischer,Fischer,2,2
fischer.3,fischer,Fischer,3,3
fischer.4,fischer,Fischer,4,4
fischer.5,fischer,Fischer,5,5
fischer.6,fischer,Fischer,6,6
fischer.7,fischer,Fischer,7,7
FMS-10,fms,FMS,10,10
FMS-100,fms,FMS,100,100
FMS-2,fms,FMS,2,2
FMS-20,fms,FMS,20,20
FMS-200,fms,FMS,200,200
FMS-5,fms,FMS,5,5
FMS-50,fms,FMS,50,50
gear.1,gear,Gear,1,1
gear.2,gear,Gear,2,2
galloc_res-3,globalResAllocation,Global Resource Allocation Management,3,3
G-PPP-1-1,gppp,Glycolytic and Pentose Phosphate Pathways,10,1-1
G-PPP-1-10,gppp,Glycolytic and Pentose Phosphate Pathways,11,1-10
G-PPP-1-100,gppp,Glycolytic and Pentose Phosphate Pathways,12,1-100
G-PPP-1-1000,gppp,Glycolytic and Pentose Phosphate Pathways,13,1-1000
G-PPP-10-10,gppp,Glycolytic and Pentose Phosphate Pathways,100,10-10
G-PPP-10-100,gppp,Glycolytic and Pentose Phosphate Pathways,101,10-100
G-PPP-100-10,gppp,Glycolytic and Pentose Phosphate Pathways,1000,100-10
G-PPP-100-100,gppp,Glycolytic and Pentose Phosphate Pathways,1001,100-100
G-PPP-100-1000,gppp,Glycolytic and Pentose Phosphate Pathways,1002,100-1000
G-PPP-100-10000,gppp,Glycolytic and Pentose Phosphate Pathways,1003,100-10000
G-PPP-100-100000,gppp,Glycolytic and Pentose Phosphate Pathways,1004,100-100000
G-PPP-1000-10,gppp,Glycolytic and Pentose Phosphate Pathways,10000,1000-10
G-PPP-1000-100,gppp,Glycolytic and Pentose Phosphate Pathways,10001,1000-100
G-PPP-1000-1000,gppp,Glycolytic and Pentose Phosphate Pathways,10002,1000-1000
hanoi.1,hanoi,Hanoi,1,1
hanoi.2,hanoi,Hanoi,2,2
HouseConstruction-002,houseConstruction,House Construction,2,2
HouseConstruction-005,houseConstruction,House Construction,5,5
HouseConstruction-010,houseConstruction,House Construction,10,10
HouseConstruction-020,houseConstruction,House Construction,20,20
HouseConstruction-050,houseConstruction,House Construction,50,50
ht_d2k1p8b00,hyperTorusGrid,Hyper Torus Grid,218,D2K1P8B00
ht_d2k2p1b00,hyperTorusGrid,Hyper Torus Grid,221,D2K2P1B00
IBM319,IBM319,IBM319,1,Default
IBM5964,IBM5964,IBM5964,1,Default
IBM703,IBM703,IBM703,1,Default
IBMB2S565S3960,IBMB2S565S3960,IBMB2S565S3960,1,Default
IOTP_c1m1p1d1,iotpPurchase,IOTP Purchase,1,1
IOTP_c3m3p3d3,iotpPurchase,IOTP Purchase,3,3
IOTP_c5m4p3d2,iotpPurchase,IOTP Purchase,5,5
iprotocol.1,iprotocol,I Protocol,1,1
iprotocol.2,iprotocol,I Protocol,2,2
iprotocol.3,iprotocol,I Protocol,3,3
iprotocol.4,iprotocol,I Protocol,4,4
iprotocol.5,iprotocol,I Protocol,5,5
iprotocol.6,iprotocol,I Protocol,6,6
iprotocol.7,iprotocol,I Protocol,7,7
Kanban-10,kanban,Kanban,10,10
Kanban-20,kanban,Kanban,20,20
Kanban-5,kanban,Kanban,5,5
Kanban-50,kanban,Kanban,50,50
krebs.1,krebs,Krebs,1,1
krebs.2,krebs,Krebs,2,2
krebs.3,krebs,Krebs,3,3
krebs.4,krebs,Krebs,4,4
lamport.1,lamport,Lamport,1,1
lamport.2,lamport,Lamport,2,2
lamport.3,lamport,Lamport,3,3
lamport.5,lamport,Lamport,4,4
lamport.6,lamport,Lamport,5,5
lamport.7,lamport,Lamport,6,6
lamport.8,lamport,Lamport,7,7
lamport_fmea-2,lamportFmea,Lamport FMEA,2,2
lamport_fmea-3,lamportFmea,Lamport FMEA,3,3
lamport_fmea-4,lamportFmea,Lamport FMEA,4,4
lamport_fmea-5,lamportFmea,Lamport FMEA,5,5
lamport_nonatomic.1,lamportNonatomic,Lamport Non-atomic,1,1
lamport_nonatomic.2,lamportNonatomic,Lamport Non-atomic,2,2
lamport_nonatomic.3,lamportNonatomic,Lamport Non-atomic,3,3
lamport_nonatomic.4,lamportNonatomic,Lamport Non-atomic,4,4
lamport_nonatomic.5,lamportNonatomic,Lamport Non-atomic,5,5
lann.1,lann,Lann,1,1
lann.2,lann,Lann,2,2
lann.3,lann,Lann,3,3
lann.4,lann,Lann,4,4
lann.5,lann,Lann,5,5
lann.6,lann,Lann,6,6
lann.7,lann,Lann,7,7
leader_election.1,leaderElection,Leader Election,1,1
leader_election.2,leaderElection,Leader Election,2,2
leader_election.3,leaderElection,Leader Election,3,3
leader_election.4,leaderElection,Leader Election,4,4
leader_election.5,leaderElection,Leader Election,5,5
leader_election.6,leaderElection,Leader Election,6,6
leader_filters.1,leaderFilters,Leader Filters,1,1
leader_filters.2,leaderFilters,Leader Filters,2,2
leader_filters.3,leaderFilters,Leader Filters,3,3
leader_filters.5,leaderFilters,Leader Filters,4,4
leader_filters.6,leaderFilters,Leader Filters,5,5
leader_filters.7,leaderFilters,Leader Filters,6,6
lifts.1,lifts,Lifts,1,1
lifts.2,lifts,Lifts,2,2
lifts.3,lifts,Lifts,3,3
lifts.4,lifts,Lifts,4,4
lifts.5,lifts,Lifts,5,5
lifts.6,lifts,Lifts,6,6
lifts.7,lifts,Lifts,7,7
lifts.8,lifts,Lifts,8,8
lup.1,lup,LUP,1,1
lup.2,lup,LUP,2,2
lup.3,lup,LUP,3,3
lup.4,lup,LUP,4,4
MAPK-20,mapk,MAPK,20,20
MAPK-40,mapk,MAPK,40,40
MAPK-8,mapk,MAPK,8,8
MAPK-80,mapk,MAPK,80,80
mcs.1,mcs,MCS,1,1
mcs.2,mcs,MCS,2,2
mcs.3,mcs,MCS,3,3
mcs.4,mcs,MCS,4,4
mcs.5,mcs,MCS,5,5
mcs.6,mcs,MCS,6,6
msmie.1,msmie,MSMIE,1,1
msmie.2,msmie,MSMIE,2,2
msmie.3,msmie,MSMIE,3,3
msmie.4,msmie,MSMIE,4,4
MultiwaySync,multiWaySync,Multiway Sync,1,Default
needham.1,needham,Needham,1,1
needham.2,needham,Needham,2,2
needham.3,needham,Needham,3,3
needham.4,needham,Needham,4,4
PaceMaker,paceMaker,Pace Maker,1,1
closed_system1,paramProductionCell,Param Production Cell (Closed),1,1
closed_system2,paramProductionCell,Param Production Cell (Closed),2,2
closed_system3,paramProductionCell,Param Production Cell (Closed),3,3
closed_system4,paramProductionCell,Param Production Cell (Closed),4,4
closed_system5,paramProductionCell,Param Production Cell (Closed),5,5
open_system_0,paramProductionCell,Param Production Cell (Open),0,Default
parking_1_4,parking,Parking,104,1-4
parking_2_8,parking,Parking,208,2-8
parking_4_16,parking,Parking,416,4-16
parking_4_32,parking,Parking,432,4-32
peg_solitaire.1,pegSolitair,Peg Solitair,1,1
peg_solitaire.4,pegSolitair,Peg Solitair,4,4
peg_solitaire.5,pegSolitair,Peg Solitair,5,5
unf-8x8-4stageSEN-01,permAdmissibility,Permutation Admissibility in Multistage Interconnection Networks,1,1
peterson.1,petersonDve,Peterson (DVE),1,1
peterson.2,petersonDve,Peterson (DVE),2,2
peterson.3,petersonDve,Peterson (DVE),3,3
peterson.4,petersonDve,Peterson (DVE),4,4
peterson.5,petersonDve,Peterson (DVE),5,5
peterson.6,petersonDve,Peterson (DVE),6,6
peterson.7,petersonDve,Peterson (DVE),7,7
Peterson-2,petersonPnml,Peterson (PNML),2,2
Peterson-3,petersonPnml,Peterson (PNML),3,3
pgm_protocol.1,pgmProtocol,PGM Protocol,1,1
pgm_protocol.2,pgmProtocol,PGM Protocol,2,2
pgm_protocol.3,pgmProtocol,PGM Protocol,3,3
pgm_protocol.4,pgmProtocol,PGM Protocol,4,4
pgm_protocol.5,pgmProtocol,PGM Protocol,5,5
pgm_protocol.6,pgmProtocol,PGM Protocol,6,6
pgm_protocol.7,pgmProtocol,PGM Protocol,7,7
pgm_protocol.8,pgmProtocol,PGM Protocol,8,8
2-10_phaseVariation,phaseVariation,Phase Variation,210,2-10
5-10_phaseVariation,phaseVariation,Phase Variation,510,5-10
philo_dyn-3-unfolded,philoDyn,Dynamic Philosophers,3,3
Philosophers-10,philosophers,Philosophers,10,10
Philosophers-100,philosophers,Philosophers,100,100
Philosophers-1000,philosophers,Philosophers,1000,1000
Philosophers-20,philosophers,Philosophers,20,20
Philosophers-200,philosophers,Philosophers,200,200
Philosophers-2000,philosophers,Philosophers,2000,2000
Philosophers-5,philosophers,Philosophers,5,5
Philosophers-50,philosophers,Philosophers,50,50
Philosophers-500,philosophers,Philosophers,500,500
phils.1,phils,Phils,1,1
phils.2,phils,Phils,2,2
phils.3,phils,Phils,3,3
phils.4,phils,Phils,4,4
phils.5,phils,Phils,5,5
phils.6,phils,Phils,6,6
phils.7,phils,Phils,7,7
phils.8,phils,Phils,8,8
pouring.1,pouring,Pouring,1,1
pouring.2,pouring,Pouring,2,2
production_cell.2,productionCellDve,Production Cell (DVE),2,2
production_cell.4,productionCellDve,Production Cell (DVE),4,4
ProductionCell,productionCellPnml,Production Cell (PNML),1,Default
protocols.2,protocols,Protocols,2,2
protocols.3,protocols,Protocols,3,3
protocols.4,protocols,Protocols,4,4
protocols.5,protocols,Protocols,5,5
public_subscribe.2,publicSubscribe,Public Subscribe,2,2
public_subscribe.5,publicSubscribe,Public Subscribe,5,5
QCertifProtocol_02-unfold,qCertifProtocol,Quasi Certification Protocol over a DHT,2,2
QCertifProtocol_06-unfold,qCertifProtocol,Quasi Certification Protocol over a DHT,6,6
raft_02,raft,Raft,2,2
raft_03,raft,Raft,3,3
raft_04,raft,Raft,4,4
raft_05,raft,Raft,5,5
raft_06,raft,Raft,6,6
reader_writer.1,readWriter,Read Writer,1,1
reader_writer.2,readWriter,Read Writer,2,2
reader_writer.3,readWriter,Read Writer,3,3
RAS-C-10,resAllocation,Resource Allocation,3010,R3C10
RAS-C-100,resAllocation,Resource Allocation,3100,R3C100
RAS-C-15,resAllocation,Resource Allocation,3015,R3C15
RAS-C-20,resAllocation,Resource Allocation,3020,R3C20
RAS-C-3,resAllocation,Resource Allocation,3003,R3C3
RAS-C-5,resAllocation,Resource Allocation,3005,R3C5
RAS-C-50,resAllocation,Resource Allocation,3050,R3C50
RAS-R-10,resAllocation,Resource Allocation,10002,R10C2
RAS-R-100,resAllocation,Resource Allocation,100002,R100C2
RAS-R-15,resAllocation,Resource Allocation,15002,R15C2
RAS-R-2,resAllocation,Resource Allocation,2002,R2C2
RAS-R-20,resAllocation,Resource Allocation,20002,R20C2
RAS-R-3,resAllocation,Resource Allocation,3002,R3C2
RAS-R-5,resAllocation,Resource Allocation,5002,R5C2
RAS-R-50,resAllocation,Resource Allocation,50002,R50C2
rether.1,rether,Rether,1,1
rether.2,rether,Rether,2,2
rether.3,rether,Rether,3,3
rether.4,rether,Rether,4,4
rether.5,rether,Rether,5,5
rether.6,rether,Rether,6,6
rether.7,rether,Rether,7,7
ring,ring,Ring,1,Default
rwmutex-r10w10,rwMutex,Read Write Mutex,100010,R10W10
rwmutex-r10w100,rwMutex,Read Write Mutex,100100,R10W100
rwmutex-r10w1000,rwMutex,Read Write Mutex,101000,R10W1000
rwmutex-r10w20,rwMutex,Read Write Mutex,100020,R10W20
rwmutex-r10w2000,rwMutex,Read Write Mutex,102000,R10W2000
rwmutex-r10w50,rwMutex,Read Write Mutex,100050,R10W50
rwmutex-r10w500,rwMutex,Read Write Mutex,100500,R10W500
rwmutex-r20w10,rwMutex,Read Write Mutex,200010,R20W10
SafeBus-03-unfolded,safeBus,Safe Bus,3,3
schedule_world.1,scheduleWorld,Schedule World,1,1
schedule_world.2,scheduleWorld,Schedule World,2,2
schedule_world.3,scheduleWorld,Schedule World,3,3
shared_memory-pt-10,sharedMemory,Shared Memory,10,10
shared_memory-pt-5,sharedMemory,Shared Memory,5,5
simple_lbs-10,simpleLoadBalance,Simple Load Balance System,10,10
simple_lbs-2,simpleLoadBalance,Simple Load Balance System,2,2
simple_lbs-5,simpleLoadBalance,Simple Load Balance System,5,5
SmallOperatingSystem-MT0016DC0008,smallOperatingSystem,Small Operating System,1608,M16D8
SmallOperatingSystem-MT0032DC0008,smallOperatingSystem,Small Operating System,3208,M32D8
SmallOperatingSystem-MT0032DC0016,smallOperatingSystem,Small Operating System,3216,M32D16
SmallOperatingSystem-MT0064DC0016,smallOperatingSystem,Small Operating System,6416,M64D16
SmallOperatingSystem-MT0064DC0032,smallOperatingSystem,Small Operating System,6432,M64D32
SmallOperatingSystem-MT0128DC0032,smallOperatingSystem,Small Operating System,12832,M128D32
SmallOperatingSystem-MT0128DC0064,smallOperatingSystem,Small Operating System,12864,M128D64
SmallOperatingSystem-MT0256DC0064,smallOperatingSystem,Small Operating System,25664,M256D64
sokoban.1,sokoban,Sokoban,1,1-1
sokoban.2,sokoban,Sokoban,2,2-10
soli0_counter_square5,soli,Soli,1,Counter
soli0_square5,soli,Soli,2,None
sorter.1,sorter,Sorter,1,1
sorter.2,sorter,Sorter,2,2
sorter.3,sorter,Sorter,3,3
sorter.4,sorter,Sorter,4,4
sorter.5,sorter,Sorter,5,5
sg-2-1-2,squareGrid,Square Grid,1,2-1-2
SwimmingPool-1,swimmingPool,Swimming Pool,1,1
SwimmingPool-2,swimmingPool,Swimming Pool,2,2
SwimmingPool-3,swimmingPool,Swimming Pool,3,3
SwimmingPool-4,swimmingPool,Swimming Pool,4,4
synapse.1,synapse,Synapse,1,1
synapse.2,synapse,Synapse,2,2
synapse.3,synapse,Synapse,3,3
synapse.4,synapse,Synapse,4,4
synapse.5,synapse,Synapse,5,5
synapse.6,synapse,Synapse,6,6
synapse.7,synapse,Synapse,7,7
tcp10,tcpCondis,TCP Connection and Disconnection,10,10
tcp5,tcpCondis,TCP Connection and Disconnection,5,5
TokenRing-10-unfolded,tokenRing,Token Ring,10,10
TokenRing-15-unfolded,tokenRing,Token Ring,15,15
TokenRing-20-unfolded,tokenRing,Token Ring,20,20
TokenRing-5-unfolded,tokenRing,Token Ring,5,5
trg_1-20-0,triangularGrid,Triangular Grid,20,1-20-00
trg_1-50-0,triangularGrid,Triangular Grid,50,1-50-00
UtahNoC,utahNoC,UtahNoC,1,Default
Vasy2003,vasy,Vase,1,Default
distributeur-01-unfolded-02,vendingMachine,Vending Machine,2,Default
