filename,filetype,predict-order,predict-saturation,predict-sat-granularity,actual-order,actual-saturation,actual-sat-granularity
fischer.1,dve2C,chain-prev,sat-like,1,chain,sat-loop,5
fischer.2,dve2C,chain-prev,sat-like,1,chain-prev,sat-like,1
fischer.3,dve2C,chain-prev,sat-like,1,bfs-prev,sat-like,1
fischer.4,dve2C,chain-prev,sat-like,1,chain-prev,sat-like,1
fischer.5,dve2C,chain-prev,sat-like,1,bfs-prev,sat-like,1
fischer.6,dve2C,chain-prev,sat-like,1,chain-prev,sat-like,1
fischer.7,dve2C,chain-prev,sat-like,1,bfs-prev,sat-like,1
FMS-10,pnml,chain-prev,sat-like,1,chain,sat-loop,10
FMS-100,pnml,chain-prev,sat-like,1,chain-prev,sat-loop,10
FMS-2,pnml,chain-prev,sat-like,1,chain,none,
FMS-20,pnml,chain-prev,sat-like,1,chain-prev,sat-loop,10
FMS-200,pnml,chain-prev,sat-like,1,chain-prev,sat-like,1
FMS-5,pnml,chain-prev,sat-like,1,chain,sat-loop,10
FMS-50,pnml,chain-prev,sat-like,1,chain-prev,sat-loop,10
gear.1,dve2C,chain-prev,sat-like,1,chain-prev,sat-like,1
gear.2,dve2C,chain-prev,sat-like,1,chain-prev,sat-like,1
ht_d2k1p8b00,pnml,chain-prev,sat-like,1,chain,sat-like,2147483647
ht_d2k2p1b00,pnml,chain-prev,sat-like,1,chain,sat-like,1
IBM703,pnml,chain-prev,sat-like,1,chain-prev,sat-like,10
IBMB2S565S3960,pnml,chain-prev,sat-like,1,chain-prev,sat-like,10
Kanban-10,pnml,chain-prev,sat-like,1,chain,sat-like,5
Kanban-20,pnml,chain-prev,sat-like,1,chain,sat-like,5
Kanban-5,pnml,chain-prev,sat-like,1,chain,sat-like,5
lamport_nonatomic.1,dve2C,chain-prev,sat-like,1,chain-prev,sat-like,1
lamport_nonatomic.2,dve2C,chain-prev,sat-like,1,chain,sat-like,1
lamport_nonatomic.3,dve2C,chain-prev,sat-like,1,chain-prev,sat-like,1
lamport_nonatomic.4,dve2C,chain-prev,sat-like,1,chain-prev,sat-like,1
lamport_nonatomic.5,dve2C,chain-prev,sat-like,1,bfs-prev,sat-like,1
leader_election.1,dve2C,chain-prev,sat-like,1,chain-prev,sat-like,1
leader_election.2,dve2C,chain-prev,sat-like,1,chain-prev,sat-like,40
leader_election.3,dve2C,chain-prev,sat-like,1,chain-prev,sat-like,1
leader_election.4,dve2C,chain-prev,sat-like,1,chain-prev,sat-like,10
leader_election.5,dve2C,chain-prev,sat-like,1,chain-prev,sat-like,5
leader_election.6,dve2C,chain-prev,sat-like,1,chain-prev,sat-like,5
leader_filters.1,dve2C,chain-prev,sat-like,1,chain-prev,sat-like,2147483647
leader_filters.2,dve2C,chain-prev,sat-like,1,bfs-prev,sat-like,10
leader_filters.3,dve2C,chain-prev,sat-like,1,chain-prev,sat-loop,5
leader_filters.5,dve2C,chain-prev,sat-like,1,chain-prev,sat-loop,20
leader_filters.6,dve2C,chain-prev,sat-like,1,chain-prev,sat-like,5
leader_filters.7,dve2C,chain-prev,sat-like,1,chain-prev,sat-loop,10
MAPK-20,pnml,chain-prev,sat-like,1,chain,none,
MAPK-40,pnml,chain-prev,sat-like,1,chain,none,
MAPK-8,pnml,chain-prev,sat-like,1,chain,sat-loop,2147483647
MAPK-80,pnml,chain-prev,sat-like,1,chain,sat-loop,2147483647
needham.1,dve2C,chain-prev,sat-like,1,chain-prev,sat-like,1
needham.2,dve2C,chain-prev,sat-like,1,chain-prev,sat-loop,20
needham.3,dve2C,chain-prev,sat-like,1,chain-prev,sat-loop,20
needham.4,dve2C,chain-prev,sat-like,1,chain-prev,sat-like,5
PaceMaker,pnml,chain-prev,sat-like,1,chain,sat-like,1
pgm_protocol.1,dve2C,chain-prev,sat-like,1,chain-prev,sat-like,40
pgm_protocol.2,dve2C,chain-prev,sat-like,1,chain-prev,sat-like,40
pgm_protocol.3,dve2C,chain-prev,sat-like,1,chain-prev,sat-like,5
pgm_protocol.4,dve2C,chain-prev,sat-like,1,chain-prev,sat-like,5
pgm_protocol.5,dve2C,chain-prev,sat-like,1,chain-prev,sat-loop,40
pgm_protocol.6,dve2C,chain-prev,sat-like,1,chain-prev,sat-like,20
pgm_protocol.7,dve2C,chain-prev,sat-like,1,chain-prev,sat-loop,80
pgm_protocol.8,dve2C,chain-prev,sat-like,1,chain-prev,sat-like,2147483647
philo_dyn-3-unfolded,pnml,chain-prev,sat-like,1,chain-prev,sat-like,5
Philosophers-10,pnml,chain-prev,sat-like,1,chain-prev,sat-like,5
Philosophers-100,pnml,chain-prev,sat-like,1,chain,sat-like,10
Philosophers-1000,pnml,chain-prev,sat-like,1,chain,sat-like,40
Philosophers-20,pnml,chain-prev,sat-like,1,chain,sat-like,10
Philosophers-200,pnml,chain-prev,sat-like,1,chain,sat-like,10
Philosophers-2000,pnml,chain-prev,sat-like,1,chain,sat-like,20
Philosophers-5,pnml,chain-prev,sat-like,1,chain-prev,sat-like,20
Philosophers-50,pnml,chain-prev,sat-like,1,chain-prev,sat-like,10
Philosophers-500,pnml,chain-prev,sat-like,1,chain,sat-like,20
production_cell.2,dve2C,chain-prev,sat-like,1,chain-prev,sat-loop,10
production_cell.4,dve2C,chain-prev,sat-like,1,chain-prev,sat-like,10
public_subscribe.2,dve2C,chain-prev,sat-like,1,chain-prev,sat-like,1
public_subscribe.5,dve2C,chain-prev,sat-like,1,bfs-prev,sat-like,5
QCertifProtocol_02-unfold,pnml,chain-prev,sat-like,1,chain-prev,sat-like,5
QCertifProtocol_06-unfold,pnml,chain-prev,sat-like,1,chain-prev,sat-like,5
SwimmingPool-1,pnml,chain-prev,sat-like,1,chain-prev,sat-loop,5
SwimmingPool-2,pnml,chain-prev,sat-like,1,chain-prev,sat-loop,5
SwimmingPool-3,pnml,chain-prev,sat-like,1,chain-prev,sat-like,5
SwimmingPool-4,pnml,chain-prev,sat-like,1,chain-prev,sat-loop,5
synapse.1,dve2C,chain-prev,sat-like,1,chain-prev,sat-like,5
synapse.2,dve2C,chain-prev,sat-like,1,chain-prev,sat-like,1
synapse.3,dve2C,chain-prev,sat-like,1,bfs-prev,sat-like,1
synapse.4,dve2C,chain-prev,sat-like,1,chain-prev,sat-like,1
synapse.5,dve2C,chain-prev,sat-like,1,chain-prev,sat-like,1
synapse.6,dve2C,chain-prev,sat-like,1,chain-prev,sat-like,1
synapse.7,dve2C,chain-prev,sat-like,1,chain-prev,sat-loop,20
TokenRing-10-unfolded,pnml,chain-prev,sat-like,1,chain-prev,sat-like,1
TokenRing-15-unfolded,pnml,chain-prev,sat-like,1,chain-prev,sat-like,40
TokenRing-20-unfolded,pnml,chain-prev,sat-like,1,chain-prev,sat-like,1
TokenRing-5-unfolded,pnml,chain-prev,sat-like,1,chain-prev,sat-like,1
