"filename","filetype","event-span","event-span-norm","weigthed-event-span","weighted-event-span-norm",
"BridgeAndVehicles-V50-P50-N50-unfolded","pnml","","","","",
"raft_03","pnml","1638","0.3154","2221","0.4276",
"FMS-5","pnml","70","0.159","75.7","0.172",
"parking_4_32","pnml","30613","0.0737192","36105.8","0.0869463",
"PolyORB-NT-S05-J60-unfolded","pnml","","","","",
"distributeur-01-unfolded-10","pnml","","","","",
"PolyORB-LF-S06-J06-T06-unfolded","pnml","","","","",
"neoelection-3.unf","pnml","","","","",
"2D8_gradient_30x30_10","pnml","","","","",
"parking_4_16","pnml","9677","0.0732745","11574.3","0.0876413",
"BridgeAndVehicles-V80-P50-N10-unfolded","pnml","","","","",
"BridgeAndVehicles-V20-P10-N10-unfolded","pnml","","","","",
"cs_repetitions-5-unfolded","pnml","","","","",
"soli1","pnml","","","","",
"TokenRing-10-unfolded","pnml","22612","0.168205","28374.4","0.211071",
"Philosophers-500","pnml","19558","0.00312928","19687.09","0.003149934",
"CircularTrain-012","pnml","98","0.34","130","0.45",
"SafeBus-10-unfolded","pnml","","","","",
"SwimmingPool-5","pnml","","","","",
"lamport_fmea-8","pnml","","","","",
"TokenRing-5-unfolded","pnml","1582","0.2817","1959","0.3489",
"BridgeAndVehicles-V80-P20-N50-unfolded","pnml","","","","",
"30-100_phaseVariation","pnml","","","","",
"rwmutex-r20w10","pnml","1646","0.3429","2774","0.5778",
"echo-d4r3","pnml","172639","0.199318","210488","0.243016",
"FMS-200","pnml","","","","",
"FMS-10","pnml","70","0.159","75.7","0.172",
"database40UNFOLD","pnml","","","","",
"BridgeAndVehicles-V50-P20-N50-unfolded","pnml","","","","",
"rwmutex-r500w10","pnml","","","","",
"IBM319","pnml","1341","0.029778","1340.4","0.029765",
"30-10_phaseVariation","pnml","","","","",
"cs_repetitions-10-unfolded","pnml","","","","",
"HouseConstruction-010","pnml","85","0.182","99.4","0.212",
"circadian_clock-100000","pnml","","","","",
"soli1_counter","pnml","","","","",
"2D8_gradient_40x40_100","pnml","","","","",
"HouseConstruction-002","pnml","85","0.182","99.4","0.212",
"eratosthenes-500","pnml","","","","",
"SafeBus-03-unfolded","pnml","2556","0.4928","4150","0.8",
"raft_10","pnml","","","","",
"PolyORB-NT-S10-J60-unfolded","pnml","","","","",
"distributeur-01-unfolded-02","pnml","786","0.4549","1083","0.6265",
"2D8_gradient_50x50_50","pnml","","","","",
"Kanban-200","pnml","","","","",
"2D8_gradient_5x5_250","pnml","","","","",
"SwimmingPool-4","pnml","31","0.49","41","0.65",
"BridgeAndVehicles-V20-P10-N50-unfolded","pnml","","","","",
"PolyORB-LF-S04-J06-T08-unfolded","pnml","","","","",
"RAS-R-2","pnml","23","0.48","32","0.67",
"EnergyBus","pnml","483379","0.694999","817255","1.17504",
"IOTP_c12m10p15d17","pnml","","","","",
"sg-2-1-2","pnml","795","0.1624","942.2","0.1925",
"rwmutex-r10w500","pnml","753014","0.7167466","1148647","1.093325",
"Philosophers-10000","pnml","379977","0.0001519908","380024.7943","0.0001520099177",
"sg-4-2-4","pnml","","","","",
"BridgeAndVehicles-V80-P20-N10-unfolded","pnml","","","","",
"closed_system2","pnml","3795","0.08133","5158.5","0.11055",
"angiogenesis-20","pnml","","","","",
"Vasy2003","pnml","84207","0.223741","113257","0.300929",
"simple_lbs-20","pnml","","","","",
"BridgeAndVehicles-V20-P20-N20-unfolded","pnml","","","","",
"PolyORB-LF-S02-J06-T10-unfolded","pnml","","","","",
"hc3k4p4b12","pnml","209003","0.06184985","219675.5","0.06500815",
"PolyORB-LF-S04-J04-T08-unfolded","pnml","","","","",
"HouseConstruction-005","pnml","85","0.182","99.4","0.212",
"shared_memory-pt-20","pnml","","","","",
"2D8_gradient_50x50_150","pnml","","","","",
"eratosthenes-200","pnml","","","","",
"2D8_gradient_5x5_150","pnml","","","","",
"10-10_phaseVariation","pnml","","","","",
"raft_04","pnml","4521","0.32109","6312.7","0.44834",
"parking_8_64","pnml","","","","",
"SwimmingPool-9","pnml","","","","",
"Philosophers-200","pnml","7577","0.007577","7624.52","0.00762452",
"database2UNFOLD","pnml","188","0.1546","209.5","0.1723",
"RAS-C-10","pnml","300","0.125","324.3","0.1351",
"PolyORB-LF-S02-J06-T06-unfolded","pnml","","","","",
"Peterson-4","pnml","","","","",
"RAS-R-15","pnml","192","0.1","207.1","0.1078",
"2D8_gradient_10x10_10","pnml","6432","0.094035","7565","0.1106",
"closed_system5","pnml","3795","0.08133","5158.5","0.11055",
"raft_08","pnml","","","","",
"RAS-R-5","pnml","62","0.258","75.2","0.313",
"circadian_clock-010000","pnml","","","","",
"PolyORB-LF-S06-J04-T06-unfolded","pnml","","","","",
"lamport_fmea-7","pnml","","","","",
"PolyORB-LF-S06-J04-T08-unfolded","pnml","","","","",
"TokenRing-50-unfolded","pnml","","","","",
"2D8_gradient_30x30_50","pnml","176486","0.02865219","187325.8","0.03041201",
"eratosthenes-100","pnml","","","","",
"2D8_gradient_30x30_150","pnml","","","","",
"rwmutex-r10w100","pnml","25856","0.51099","34869","0.68911",
"neoelection-5.unf","pnml","","","","",
"SwimmingPool-6","pnml","","","","",
"TokenRing-30-unfolded","pnml","","","","",
"circadian_clock-000100","pnml","66","0.295","80.3","0.358",
"echo-d3r5","pnml","","","","",
"HouseConstruction-500","pnml","","","","",
"railroad-005-pt","pnml","","","","",
"simple_lbs-2","pnml","561","0.3896","809.5","0.5622",
"unf-8x8-4stageSEN-02","pnml","","","","",
"2D8_gradient_40x40_150","pnml","","","","",
"circadian_clock-001000","pnml","","","","",
"raft_05","pnml","10586","0.33443","14835","0.46865",
"eratosthenes-010","pnml","","","","",
"echo-d2r19","pnml","","","","",
"2D8_gradient_5x5_10","pnml","714","0.1983","851.7","0.2366",
"Kanban-50","pnml","","","","",
"2-100_phaseVariation","pnml","","","","",
"PolyORB-LF-S04-J04-T06-unfolded","pnml","","","","",
"FMS-50","pnml","70","0.159","75.7","0.172",
"shared_memory-pt-10","pnml","14390","0.52308","20131","0.73176",
"HouseConstruction-050","pnml","","","","",
"BridgeAndVehicles-V50-P50-N20-unfolded","pnml","","","","",
"CircularTrain-024","pnml","205","0.178","235.5","0.2045",
"PolyORB-NT-S10-J80-unfolded","pnml","","","","",
"Kanban-5","pnml","53","0.207","63.4","0.248",
"QCertifProtocol_32-unfold","pnml","413859","0.2148984","500162.3","0.2597118",
"angiogenesis-01","pnml","699","0.28","923","0.3698",
"lamport_fmea-6","pnml","","","","",
"Philosophers-50","pnml","1878","0.030048","1923","0.030768",
"echo-d2r11","pnml","","","","",
"PolyORB-LF-S06-J04-T04-unfolded","pnml","","","","",
"lamport_fmea-5","pnml","","","","",
"parking_2_8","pnml","2281","0.082834","2908.3","0.10561",
"RAS-R-50","pnml","647","0.031716","662.72","0.032486",
"database4UNFOLD","pnml","3696","0.20625","5030.1","0.2807",
"PolyORB-LF-S04-J06-T10-unfolded","pnml","","","","",
"Peterson-3","pnml","13622","0.16816","16731","0.20653",
"MAPK-160","pnml","","","","",
"eratosthenes-020","pnml","","","","",
"BridgeAndVehicles-V50-P20-N20-unfolded","pnml","","","","",
"hc5k3p3b15","pnml","14613257","0.0635823898","15193867.8","0.0661086318",
"SwimmingPool-10","pnml","","","","",
"echo-d5r3","pnml","2306196","0.19256534","2786097.1","0.23263666",
"MAPK-40","pnml","126","0.191","146","0.222",
"soli2","pnml","","","","",
"Philosophers-10","pnml","360","0.144","400.2","0.1601",
"2D8_gradient_5x5_300","pnml","","","","",
"circadian_clock-000001","pnml","66","0.295","80.3","0.358",
"cs_repetitions-3-unfolded","pnml","1805","0.3842","2526","0.5376",
"MultiwaySync","pnml","","","","",
"2D8_gradient_5x5_100","pnml","","","","",
"BridgeAndVehicles-V80-P20-N20-unfolded","pnml","","","","",
"closed_system3","pnml","3795","0.08133","5158.5","0.11055",
"rwmutex-r10w2000","pnml","8121010","0.50127835","10839390","0.66907338",
"2D8_gradient_5x5_200","pnml","","","","",
"soli0_counter_square5","pnml","","","","",
"dekker-15","pnml","10193","0.53297","15350","0.8026",
"soli0_square5","pnml","1192","0.2838","1540","0.3666",
"angiogenesis-15","pnml","699","0.28","923","0.3698",
"shared_memory-pt-100","pnml","","","","",
"2D8_gradient_10x10_150","pnml","","","","",
"20-100_phaseVariation","pnml","","","","",
"BridgeAndVehicles-V80-P50-N20-unfolded","pnml","","","","",
"sg-13-6-13","pnml","142734","0.02250773","145939.2","0.02301316",
"sg-10-5-10","pnml","65413","0.02890288","67327.34","0.02974874",
"Peterson-5","pnml","","","","",
"RAS-R-20","pnml","257","0.07649","272.3","0.08104",
"rwmutex-r10w50","pnml","10672","0.6841","17507","1.1222",
"philo_dyn-20-unfolded","pnml","","","","",
"raft_06","pnml","","","","",
"erk-001000","pnml","","","","",
"TokenRing-15-unfolded","pnml","118719","0.128248","124174","0.134141",
"BridgeAndVehicles-V04-P05-N02-unfolded","pnml","712","0.489","995.1","0.6835",
"Peterson-7","pnml","","","","",
"raft_09","pnml","","","","",
"5-100_phaseVariation","pnml","","","","",
"2D8_gradient_10x10_100","pnml","","","","",
"dekker-200","pnml","","","","",
"rwmutex-r10w20","pnml","2334","0.5557","3762","0.8957",
"Kanban-20","pnml","53","0.207","63.4","0.248",
"angiogenesis-25","pnml","","","","",
"2D8_gradient_10x10_200","pnml","","","","",
"Kanban-100","pnml","","","","",
"IOTP_c5m4p3d2","pnml","602","0.1205","790.6","0.1583",
"philo_dyn-3-unfolded","pnml","1266","0.5024","1713","0.6799",
"2D8_gradient_20x20_50","pnml","51732","0.0436336","54005.81","0.04555146",
"PolyORB-NT-S05-J20-unfolded","pnml","","","","",
"FMS-2","pnml","70","0.159","75.7","0.172",
"RAS-C-15","pnml","460","0.08519","484.9","0.08979",
"angiogenesis-10","pnml","","","","",
"BridgeAndVehicles-V50-P20-N10-unfolded","pnml","","","","",
"angiogenesis-50","pnml","699","0.28","923","0.3698",
"TokenRing-40-unfolded","pnml","","","","",
"TokenRing-20-unfolded","pnml","358313","0.09648511","422068.8","0.113653",
"unf-8x8-4stageSEN-10","pnml","","","","",
"RAS-R-3","pnml","36","0.38","47","0.49",
"cs_repetitions-2-unfolded","pnml","233","0.362","317","0.493",
"ARMCacheCoherence","pnml","","","","",
"HouseConstruction-100","pnml","","","","",
"HouseConstruction-020","pnml","85","0.182","99.4","0.212",
"FMS-20","pnml","70","0.159","75.7","0.172",
"PolyORB-LF-S02-J04-T06-unfolded","pnml","","","","",
"2D8_gradient_40x40_50","pnml","","","","",
"QCertifProtocol_28-unfold","pnml","284559","0.2128168","336568.7","0.2517139",
"SwimmingPool-7","pnml","","","","",
"FMS-100","pnml","","","","",
"BridgeAndVehicles-V20-P20-N10-unfolded","pnml","","","","",
"CircularTrain-768","pnml","","","","",
"UtahNoC","pnml","43271","0.205045","59041.5","0.279775",
"Philosophers-20","pnml","737","0.0737","782","0.0782",
"cs_repetitions-7-unfolded","pnml","","","","",
"parking_1_4","pnml","884","0.1402","1219","0.1933",
"Kanban-10","pnml","53","0.207","63.4","0.248",
"Kanban-500","pnml","","","","",
"SafeBus-15-unfolded","pnml","","","","",
"Philosophers-5000","pnml","189979","0.0003039664","190024.825","0.00030403972",
"rwmutex-r10w10","pnml","902","0.451","1486","0.7432",
"MAPK-320","pnml","","","","",
"IBM703","pnml","1871","0.025145","2092.4","0.028121",
"ring","pnml","1743","0.14413","2225.3","0.18401",
